rank,name,sale_price,base_price,discount_rate,unit_price,rating,rating_count,rocket,benefit_text,product_url,image_url
45,"바이오가이아 프로텍티스 이지드롭 프로바이오틱스 + 비타민 D 영양제, 10ml, 1개",55720,79900.0,30.0,"(10ml당 55,720원)",5.0,5852,True,"최대 2,786원 적립",https://www.coupang.com/vp/products/8746727694?itemId=15833332311&vendorItemId=83044891579&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/1025_amir_coupang_oct_80k/2b10/6cdc163de08cb1c6a34d21281fe21b7932ce677d0c764096731a2ea745f9.jpg
46,"종근당건강 헬씨칸 로얄 영양제, 30정, 1개",6000,16000.0,62.0,(1정당 200원),5.0,25041,True,최대 300원 적립,https://www.coupang.com/vp/products/1471365225?itemId=1015259903&vendorItemId=85502586494&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2088855176155316-23c05a76-21f3-436d-abff-2f8ec3bb0ebe.jpg
47,"종근당건강 헬씨칸 로얄 밀크시슬, 30정, 3개",17670,48000.0,63.0,(1정당 196원),5.0,25041,True,최대 884원 적립,https://www.coupang.com/vp/products/1471365225?itemId=2529340426&vendorItemId=85760836984&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/233919618778178-4c37a436-0e77-46a0-9b80-d2c93f94a506.jpg
48,"동화약품 블러드 써큐 올인원 맥스 혈압 혈당 혈행 콜레스테롤 케어 관리 조절, 60정, 1개",19500,40000.0,51.0,(1정당 325원),5.0,1511,True,최대 975원 적립,https://www.coupang.com/vp/products/7926369188?itemId=21941828760&vendorItemId=89656999055&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/1025_amir_coupang_oct_80k/4f38/434ca8b4048e2f3352276e8fadb84b4c433b5894d8ff2457505c3868ed02.jpg
49,"종근당 활력비타민B 플러스, 60정, 2개",26090,26890.0,2.0,(1정당 217원),5.0,31409,True,"최대 1,305원 적립",https://www.coupang.com/vp/products/7771987825?itemId=20984371077&vendorItemId=85762460259&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/594546351614085-f1057bbc-4fd7-4d97-a9f0-4a4e741f0448.jpg
50,"닥터스베스트 엠에스엠 1500, 120정, 1개",19000,,,(1정당 158원),4.5,18170,True,최대 950원 적립,https://www.coupang.com/vp/products/88301275?itemId=276448492&vendorItemId=3670749321&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/329566939514678-cfee97cb-cc44-4dc9-b61a-bec422050d4b.jpg
51,"일양약품 잇큐 영양제, 240정, 1개",21070,30000.0,29.0,(1정당 88원),4.5,10978,True,"최대 1,054원 적립",https://www.coupang.com/vp/products/166296?itemId=307840&vendorItemId=3000213379&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/988858635419434-47a83f97-f5c2-4a0d-a260-75d6112f0e93.png
52,"세노비스 코엔자임 큐텐, 60정, 1개",24790,48000.0,48.0,(1정당 413원),5.0,7632,True,"최대 1,240원 적립",https://www.coupang.com/vp/products/201511?itemId=23813618668&vendorItemId=3000279176&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/image_audit/prod/8aaa5e48-2c23-49cb-86ca-c24e00d05296_fixing_v2.png
53,"센트룸 실버 맨 멀티비타민 미네랄, 50정, 1개",23240,27000.0,13.0,(1정당 465원),5.0,3396,True,"최대 1,162원 적립",https://www.coupang.com/vp/products/8335680366?itemId=22719265054&vendorItemId=88537939913&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/1025_amir_coupang_oct_80k/d5b8/b9ba6a6ce8877f6351101f4a035524163ea70bb2027487cf3c34ab6a5355.jpg
54,"이너랩 차전자피 가르시니아 슬리밍 환, 110g, 1개",12970,22000.0,41.0,"(10g당 1,179원)",5.0,5183,True,최대 649원 적립,https://www.coupang.com/vp/products/8248192259?itemId=23742364890&vendorItemId=85262116516&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/image_audit/prod/d2f8fc05-e3f2-45f4-87c7-f93f03abaac7_fixing_v2.png
55,"셀렉스 프로틴 락토프리 파우더, 570g, 1개",33000,44900.0,26.0,"(100g당 5,789원)",4.5,18438,True,"최대 1,650원 적립",https://www.coupang.com/vp/products/6825320316?itemId=16189216203&vendorItemId=87437331484&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/63872012499704-33225140-0eba-4a96-bf41-15e90d45e944.png
56,"종근당건강 비타민D 2000IU, 90정, 2개",21100,22400.0,5.0,(1정당 117원),5.0,34628,True,"최대 1,002원 적립",https://www.coupang.com/vp/products/5191718214?itemId=18625136413&vendorItemId=85760519234&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/181110370168137-50e1ac16-dd4d-4385-bc4e-3418688f303e.jpg
57,"구트할로 비타민C 500, 20정, 3개",9690,9800.0,1.0,(1정당 162원),5.0,10015,True,최대 485원 적립,https://www.coupang.com/vp/products/6155420054?itemId=19239199829&vendorItemId=71503717362&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/164974500577752-60977ad2-f1ab-48c3-95ab-b6725b5a221e.jpg
58,"락토핏 골드 유산균 선물세트, 100g, 3개",30000,50700.0,40.0,"(10g당 1,000원)",5.0,3768,True,"최대 1,500원 적립",https://www.coupang.com/vp/products/8184298624?itemId=25231819208&vendorItemId=83397358106&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/79775966261450-f00e43a5-b795-4237-b3b7-93f0a8776376.jpg
59,"뉴트리원 루테인 지아잔틴 164, 50정, 3개",61900,150000.0,58.0,(1정당 413원),5.0,12654,True,"최대 3,095원 적립",https://www.coupang.com/vp/products/8552790998?itemId=20153788481&vendorItemId=83649450905&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/140833141535682-113cace6-a09e-4a19-8287-d74232a16b86.jpg
60,"센트룸 우먼 멀티비타민 미네랄, 50정, 1개",26000,28200.0,7.0,(1정당 520원),5.0,14385,True,"최대 1,300원 적립",https://www.coupang.com/vp/products/7371604634?itemId=20744494376&vendorItemId=86056032067&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/image_audit/prod/9e8aa439-13de-4897-a4f4-95d481e5a41a_fixing_v2.png
61,"종근당건강 프로폴리스 플러스, 60정, 1개",8470,13900.0,39.0,(1정당 141원),4.5,16811,True,최대 424원 적립,https://www.coupang.com/vp/products/12804417?itemId=6172130063&vendorItemId=3018137311&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1767764456289643-fb86c792-5250-4fa0-bfd7-bf0000d58960.jpg
